,rank,Movie name,rating,year,voting,gross,duration
0,1.,"<a href=""/title/tt0111161/"">The Shawshank Redemption</a>",<strong>9.3</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span data-value=""2716531"" name=""nv"">2,716,531</span>","<span data-value=""28,341,469"" name=""nv"">$28.34M</span>","<span class=""runtime"">142 min</span>"
1,2.,"<a href=""/title/tt0068646/"">The Godfather</a>",<strong>9.2</strong>,"<span class=""lister-item-year text-muted unbold"">(1972)</span>","<span data-value=""1887426"" name=""nv"">1,887,426</span>","<span data-value=""134,966,411"" name=""nv"">$134.97M</span>","<span class=""runtime"">175 min</span>"
2,3.,"<a href=""/title/tt0468569/"">The Dark Knight</a>",<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(2008)</span>","<span data-value=""2689221"" name=""nv"">2,689,221</span>","<span data-value=""534,858,444"" name=""nv"">$534.86M</span>","<span class=""runtime"">152 min</span>"
3,4.,"<a href=""/title/tt0071562/"">The Godfather Part II</a>",<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(1974)</span>","<span data-value=""1287970"" name=""nv"">1,287,970</span>","<span data-value=""57,300,000"" name=""nv"">$57.30M</span>","<span class=""runtime"">202 min</span>"
4,5.,"<a href=""/title/tt0108052/"">Schindler's List</a>",<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(1993)</span>","<span data-value=""1372249"" name=""nv"">1,372,249</span>","<span data-value=""96,898,818"" name=""nv"">$96.90M</span>","<span class=""runtime"">195 min</span>"
5,6.,"<a href=""/title/tt0167260/"">The Lord of the Rings: The Return of the King</a>",<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(2003)</span>","<span data-value=""1869252"" name=""nv"">1,869,252</span>","<span data-value=""377,845,905"" name=""nv"">$377.85M</span>","<span class=""runtime"">201 min</span>"
6,7.,"<a href=""/title/tt0050083/"">12 Angry Men</a>",<strong>9.0</strong>,"<span class=""lister-item-year text-muted unbold"">(1957)</span>","<span data-value=""802722"" name=""nv"">802,722</span>","<span data-value=""4,360,000"" name=""nv"">$4.36M</span>","<span class=""runtime"">96 min</span>"
7,8.,"<a href=""/title/tt0110912/"">Pulp Fiction</a>",<strong>8.9</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span data-value=""2085983"" name=""nv"">2,085,983</span>","<span data-value=""107,928,762"" name=""nv"">$107.93M</span>","<span class=""runtime"">154 min</span>"
8,9.,"<a href=""/title/tt0120737/"">The Lord of the Rings: The Fellowship of the Ring</a>",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2001)</span>","<span data-value=""1898624"" name=""nv"">1,898,624</span>","<span data-value=""315,544,750"" name=""nv"">$315.54M</span>","<span class=""runtime"">178 min</span>"
9,10.,"<a href=""/title/tt1375666/"">Inception</a>",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2010)</span>","<span data-value=""2386630"" name=""nv"">2,386,630</span>","<span data-value=""292,576,195"" name=""nv"">$292.58M</span>","<span class=""runtime"">148 min</span>"
10,11.,"<a href=""/title/tt0137523/"">Fight Club</a>",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span data-value=""2160046"" name=""nv"">2,160,046</span>","<span data-value=""37,030,102"" name=""nv"">$37.03M</span>","<span class=""runtime"">139 min</span>"
11,12.,"<a href=""/title/tt0109830/"">Forrest Gump</a>",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span data-value=""2111567"" name=""nv"">2,111,567</span>","<span data-value=""330,252,182"" name=""nv"">$330.25M</span>","<span class=""runtime"">142 min</span>"
12,13.,"<a href=""/title/tt0167261/"">The Lord of the Rings: The Two Towers</a>",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2002)</span>","<span data-value=""1687639"" name=""nv"">1,687,639</span>","<span data-value=""342,551,365"" name=""nv"">$342.55M</span>","<span class=""runtime"">179 min</span>"
13,14.,"<a href=""/title/tt0060196/"">Il buono, il brutto, il cattivo</a>",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(1966)</span>","<span data-value=""770592"" name=""nv"">770,592</span>","<span data-value=""6,100,000"" name=""nv"">$6.10M</span>","<span class=""runtime"">161 min</span>"
14,15.,"<a href=""/title/tt15097216/"">Jai Bhim</a>",<strong>8.8</strong>,"<span class=""lister-item-year text-muted unbold"">(2021)</span>","<span data-value=""204965"" name=""nv"">204,965</span>","<span data-value=""234"" name=""nv"">#234</span>","<span class=""runtime"">164 min</span>"
15,16.,"<a href=""/title/tt0099685/"">GoodFellas</a>",<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1990)</span>","<span data-value=""1178347"" name=""nv"">1,178,347</span>","<span data-value=""46,836,394"" name=""nv"">$46.84M</span>","<span class=""runtime"">145 min</span>"
16,17.,"<a href=""/title/tt0133093/"">The Matrix</a>",<strong>8.7</strong>,"<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span data-value=""1937395"" name=""nv"">1,937,395</span>","<span data-value=""171,479,930"" name=""nv"">$171.48M</span>","<span class=""runtime"">136 min</span>"
